,trip_second,km_distance_trip
0,475,2.6
1,606,3.1
2,529,3.3
3,572,5.2
4,542,3.3
5,1071,7.7
6,761,2.6
7,850,3.2
8,813,5.0
9,426,3.1
10,299,1.9
11,474,1.6
12,1008,5.0
13,896,12.0
14,814,6.9
15,482,3.6
16,1013,4.8
17,683,2.7
18,142,0.6
19,1022,4.0
20,424,2.4
21,641,2.6
22,419,2.9
23,1673,6.1
24,801,7.2
25,279,0.9
26,415,2.7
27,548,4.4
28,1255,5.0
29,350,2.5
30,614,4.2
31,345,2.4
32,854,5.2
33,812,7.7
34,869,4.8
35,783,5.8
36,446,4.3
37,259,1.9
38,415,2.4
39,1208,5.4
40,1234,7.8
41,875,6.5
42,933,7.4
43,1416,11.0
44,1100,6.8
45,1056,5.6
46,928,7.8
47,799,7.0
48,819,5.3
49,647,2.8
50,1088,6.3
51,950,3.8
52,1523,19.0
53,1090,5.5
54,757,2.6
55,793,6.1
56,43,0.3
57,534,3.6
58,398,2.6
59,429,3.7
60,413,2.3
61,886,4.9
62,555,3.9
63,343,1.7
64,1019,5.6
65,980,5.8
66,1012,7.7
67,754,5.4
68,836,3.9
69,403,2.3
70,1006,4.9
71,1796,7.0
72,1022,5.1
73,553,2.6
74,1119,5.4
75,1257,17.0
76,1672,4.5
77,869,3.1
78,1555,20.0
79,1481,6.8
80,747,6.4
81,841,4.1
82,396,2.6
83,1560,5.8
84,995,8.5
85,389,2.7
86,833,3.8
87,671,4.4
88,611,3.4
89,999,6.5
90,1859,10.0
91,1129,5.8
92,934,5.2
93,491,2.4
94,1054,5.4
95,684,4.6
96,986,4.8
97,1354,20.0
98,712,8.3
99,426,2.9
100,269,1.3
101,393,1.6
102,464,3.1
103,904,4.0
104,756,5.2
105,911,5.0
106,286,1.9
107,1411,5.6
108,419,2.9
109,243,2.2
110,499,3.2
111,688,4.8
112,884,6.6
113,486,4.2
114,913,8.1
115,618,4.8
116,688,5.3
117,671,4.1
118,285,1.9
119,739,4.8
120,1068,5.2
121,413,2.7
122,906,4.0
123,861,4.8
124,1014,5.3
125,1064,3.1
126,340,1.4
127,273,1.6
128,223,1.9
129,754,5.5
130,1073,5.2
131,659,5.2
132,1001,4.9
133,2640,14.0
134,644,3.5
135,271,1.8
136,1519,5.8
137,316,1.6
138,349,2.3
139,637,2.2
140,95,0.4
141,297,1.9
142,1422,6.5
143,714,5.8
144,912,9.3
145,1776,6.2
146,800,6.2
147,765,7.1
148,928,4.2
149,920,3.9
150,999,3.6
151,437,2.6
152,384,2.6
153,345,2.2
154,641,4.5
155,991,5.3
156,527,3.0
157,654,6.1
158,190,1.5
159,1480,15.0
160,1478,5.1
